id,hostname,model,exist in CA Spectrum
141109655967058898,RDMRIS02,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
141378225106160257,unknown,,False
141529528666460986,unknown,,False
141600328567273894,unknown,,False
141955545042646848,unknown,,False
142043395571275735,SYXBRSW01-1#7F,J9773A,False
143104982968860183,DALBPS03_63,ICX725024,False
143777309319893877,unknown,,False
143849045938746412,PDXVES01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
144630191467087340,SYXBRSW01-2#6F,J9087A,False
144699602532654698,SELMOS44.Marriott.com,catWsC2960x24tsLL,False
145241332983060101,MCTSI51,"HP J9727A 2920-24G-PoE+ Switch, revision WB.16.10.",False
145749477948861436,unknown,,False
145942983743753466,SEARAP01.marriott.com,C800,True
146728685895382868,GJTFIP01.marriott.com,891,True
147528141431503746,unknown,,False
147956405914057652,unknown,,False
148175136660245716,unknown,,False
148325780135054236,DENBO01,"HP J9781A 2530-48 Switch, revision YA.16.10.0016, ",False
148740711864524417,PNQMDS01.Marriott.com,catalyst2960G24,False
148806570606490957,SW03673_035_220,"HP J9782A 2530-24 Switch, revision YB.15.16.0006, ",False
148813032031488520,DLHRIP01.marriott.com,C11118PLteEA,True
148833372958551902,LAXJWSTEMP-MPOE220.Marriott.com,catwsC2960C12pcL,False
149553195165678224,unknown,,False
149937104120688234,BOMJWS09,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
149965353698062039,SHAPFP01,1921k9,True
150913661746671346,SYDMCS67,"HP J9627A 2620-48-PoEP Switch, revision RA.16.04.0",False
153417057388521394,HKGOPSW03-02-IDFTower1,J9781A,False
154057415974820375,SNAIVP01.marriott.com,C899G-LTE-NA-K9,True
154543425969541645,BKKQPS10,"HP J9626A 2620-48 Switch, revision RA.16.04.0023, ",False
155147157032637029,OXRRIP01.marriott.com,C1161X8PLteP,True
