id,hostname,model,exist in Netmri
0x120c338,GUPTSP01.marriott.com,GnSNMPDev,False
0x12c430e,PHXTXP01.marriott.com,Rtr_Cisco,False
0x11d8339,HOUCVP01.marriott.com,GnSNMPDev,False
0x1228305,HSVHWP01.marriott.com,GnSNMPDev,False
0x1314316,CTDSHP01.marriott.com,Rtr_Cisco,False
0x12f4305,CMHTDP01.marriott.com,Rtr_Cisco,False
0x1190335,NYC94LSWA10N02,SwCiscoIOS,False
0x1190336,NYC94LSWA10N01.marriott.com,SwCiscoIOS,False
0x11fc32e,FWAFFP01.marriott.com,GnSNMPDev,False
0x1214313,MFERIP01.marriott.com,Rtr_Cisco,False
0x132c306,BZNARP01.marriott.com,GnSNMPDev,False
0x129c310,MAFFOP01.marriott.com,Rtr_Cisco,True
0x1218318,HSNWIP01,Rtr_Cisco,False
0x11e4324,FATMDP01.marriott.com,Rtr_Cisco,False
0x122c31e,JANAPP01.marriott.com,GnSNMPDev,False
0x122831f,HSVSHP01.marriott.com,Rtr_Cisco,False
0x130c30d,MAFSOP01.marriott.com,Rtr_Cisco,False
0x1214360,MFEMAP01.marriott.com,Rtr_Cisco,False
0x1210360,PNCSHP01.marriott.com,GnSNMPDev,False
0x11f4351,DTWDTP01.marriott.com,Rtr_Cisco,False
0x131037f,HOUATP01.marriott.com,Rtr_Cisco,False
0x11dc34c,AIYMLP01.marriott.com,GnSNMPDev,False
0x1300369,SHAPCP01.marriott.com,GnSNMPDev,False
0x121037a,PNCRIP01.marriott.com,Rtr_Cisco,False
0x129c376,BWIFDP01.marriott.com,Rtr_Cisco,False
0x12dc34d,SGNFIP01.marriott.com,Rtr_Cisco,False
0x130c351,SDFFBP01.marriott.com,Rtr_Cisco,False
0x11dc37e,ATLDTP01.marriott.com,GnSNMPDev,False
0x12f434a,CHITGP01.marriott.com,Rtr_Cisco,False
0x11f8377,LAFFIP01.marriott.com,GnSNMPDev,False
0x11f8376,SEATLP01.marriott.com,GnSNMPDev,False
0x11f8375,DENSVP01.marriott.com,GnSNMPDev,False
0x11f8374,LAFRIP01.marriott.com,GnSNMPDev,False
0x11f8373,LAFTSP01.marriott.com,Rtr_Cisco,False
0x131435d,YOWDMP01.marriott.com,Rtr_Cisco,False
0x11e4370,BWIMRP01.marriott.com,GnSNMPDev,False
0x120c352,GUPSHP01.marriott.com,GnSNMPDev,True
0x11d836e,ATLBHP01.marriott.com,GnSNMPDev,False
0x122c355,PNSPCP01.marriott.com,GnSNMPDev,False
0x11fc367,FWARIP01.marriott.com,GnSNMPDev,False
0x121435f,MFEFIP01.marriott.com,GnSNMPDev,False
0x13143b1,PSMACP01.marriott.com,Rtr_Cisco,False
0x11fc39f,YHMFPP01,GnSNMPDev,False
0x12b43ab,INDTAP01.marriott.com,Rtr_Cisco,False
0x12043a6,EWROGP01.marriott.com,GnSNMPDev,False
0x12043a7,EWRWOP01.marriott.com,GnSNMPDev,False
0x12043a8,MLBVBP01.marriott.com,Rtr_Cisco,False
0x12043ac,JAXSHP01.marriott.com,GnSNMPDev,False
0x129c3bc,ORFDBP01.marriott.com,Rtr_Cisco,False
0x12143b7,MFECYP01.marriott.com,GnSNMPDev,False
0x131c3a9,OKCTXP01.marriott.com,Rtr_Cisco,False
0x12003be,PRCRIP01.marriott.com,Rtr_Cisco,False
0x12f438c,STLRCP01.marriott.com,Rtr_Cisco,False
0x120c383,GUPFIP01.marriott.com,GnSNMPDev,False
0x130c393,DTTRAP01.marriott.com,Rtr_Cisco,False
0x1228384,HSVTSP01.marriott.com,Rtr_Cisco,False
0x11dc3b4,MCILSP01.marriott.com,GnSNMPDev,False
0x122c38b,PNSTSP01.marriott.com,Rtr_Cisco,False
0x123038a,SJC13NTX01B02.marriott.com,F5BigIPDev,False
0x120038a,CMHALP01.marriott.com,GnSNMPDev,False
0x11d83a6,DALFVP01.marriott.com,GnSNMPDev,False
0x11e43a0,MCIALP01,GnSNMPDev,False
0x11ec3de,TTNDFP01.marriott.com,Rtr_Cisco,False
0x11ec3df,TTNWIP01,Rtr_Cisco,False
0x13143f4,YSCDRP01.marriott.com,Rtr_Cisco,False
0x12b43ee,DSMSAP01.marriott.com,Rtr_Cisco,False
0x13203f5,LEIALP01.marriott.com,Rtr_Cisco,False
0x11d83da,ACHFPP01,Rtr_Cisco,False
0x11f43d8,CJBMDP01,Rtr_Cisco,False
0x12003ed,PRCSHP01.marriott.com,GnSNMPDev,False
